epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6845,1.27505,2.93872,1.32385,0.68452,0.5723,0.56041,0.41674,0.88241,2.01298,1.09491,0.000164557,0.000164557,0.000164557
2,52.029,1.08891,1.61029,1.21362,0.60646,0.73048,0.73683,0.5648,0.90871,1.42616,1.11049,0.000324665,0.000324665,0.000324665
3,77.8904,1.04247,1.36445,1.18791,0.7245,0.69113,0.80818,0.62147,0.88029,1.52769,1.1328,0.000478174,0.000478174,0.000478174
4,105.935,1.01646,1.33097,1.18729,0.68902,0.89115,0.84942,0.65118,0.90698,1.06464,1.1203,0.0004703,0.0004703,0.0004703
5,134.746,1.03025,1.13206,1.18834,0.86869,0.80764,0.85916,0.66434,0.88232,0.98288,1.11403,0.0004604,0.0004604,0.0004604
6,164.183,1.01334,1.03051,1.14818,0.83462,0.88193,0.90152,0.71908,0.83514,0.85817,1.079,0.0004505,0.0004505,0.0004505
7,193.778,1.00866,0.97412,1.18096,0.81902,0.93119,0.92619,0.71805,0.86139,0.7387,1.09764,0.0004406,0.0004406,0.0004406
8,223.874,1.01496,0.94972,1.1981,0.78235,0.96211,0.94614,0.74164,0.83727,0.76495,1.10081,0.0004307,0.0004307,0.0004307
9,255.664,0.98681,0.90134,1.16376,0.88452,0.86655,0.93246,0.72241,0.84974,0.75411,1.10008,0.0004208,0.0004208,0.0004208
10,286.076,0.99783,0.93093,1.18417,0.91106,0.89357,0.9528,0.77162,0.80121,0.65061,1.07649,0.0004109,0.0004109,0.0004109
11,317.907,0.92779,0.80547,1.11333,0.88707,0.90641,0.95551,0.76605,0.80584,0.69398,1.08294,0.000401,0.000401,0.000401
12,348.971,0.94267,0.78641,1.14554,0.89721,0.88637,0.91965,0.7399,0.77624,0.65285,1.07568,0.0003911,0.0003911,0.0003911
13,379.637,0.94781,0.76801,1.15727,0.82675,0.9615,0.96912,0.75007,0.84861,0.66902,1.10853,0.0003812,0.0003812,0.0003812
14,409.145,0.92849,0.75703,1.12672,0.88194,0.92027,0.96029,0.76469,0.79239,0.65541,1.06757,0.0003713,0.0003713,0.0003713
15,439.256,0.97614,0.79924,1.15852,0.92002,0.95547,0.98045,0.80454,0.79138,0.57442,1.0708,0.0003614,0.0003614,0.0003614
16,470.124,0.91593,0.73915,1.13609,0.91598,0.96545,0.97817,0.7998,0.78906,0.59949,1.0642,0.0003515,0.0003515,0.0003515
17,500.391,0.93153,0.70547,1.13407,0.92819,0.93798,0.95786,0.77596,0.79961,0.59377,1.06758,0.0003416,0.0003416,0.0003416
18,530.456,0.90612,0.71722,1.10549,0.92814,0.97209,0.97876,0.79316,0.81664,0.55351,1.09002,0.0003317,0.0003317,0.0003317
19,561.032,0.9142,0.70699,1.14595,0.91433,0.97293,0.97063,0.75699,0.87509,0.57232,1.13474,0.0003218,0.0003218,0.0003218
20,591.67,0.88197,0.64422,1.10683,0.93967,0.96513,0.98208,0.80879,0.77128,0.5031,1.07465,0.0003119,0.0003119,0.0003119
21,622.615,0.86615,0.64111,1.11097,0.92482,0.97472,0.97403,0.79431,0.77794,0.50456,1.06756,0.000302,0.000302,0.000302
22,653.997,0.87727,0.63501,1.10036,0.93099,0.96896,0.97585,0.80758,0.7449,0.49805,1.03438,0.0002921,0.0002921,0.0002921
23,685.168,0.84025,0.61539,1.09512,0.94801,0.98029,0.98288,0.79806,0.78596,0.49123,1.05282,0.0002822,0.0002822,0.0002822
24,716.643,0.84236,0.60726,1.08522,0.92458,0.98452,0.96338,0.78386,0.76016,0.4811,1.05343,0.0002723,0.0002723,0.0002723
25,748.248,0.85371,0.60444,1.07019,0.90201,0.96323,0.96381,0.78571,0.76639,0.4804,1.04792,0.0002624,0.0002624,0.0002624
